cartodb_id,the_geom,date,entero,site,sample_time,site_id,sampler
2479,0101000020E610000063EE5A423E7F52C0055262D7F6564440,2015-01-12 00:00:00+00,16,Union Street Bridge,,GC3,DEP
2480,0101000020E6100000D316D7F84C7F52C0BCC96FD1C9564440,2015-01-12 00:00:00+00,12,Carroll Street Bridge,,GC4,DEP
2481,0101000020E6100000DD4598A25C7F52C0487023658B564440,2015-01-12 00:00:00+00,20,3rd Street Bridge,,GC5,DEP
2482,0101000020E610000077CF5ED6C47F52C06E85B01A4B564440,2015-01-12 00:00:00+00,12,9th Street Bridge,,GC6,DEP
2483,0101000020E6100000A760039D368052C0A967555555554440,2015-01-07 00:00:00+00,24,Gowanus Channel,,G2,DEP
2484,0101000020E6100000A5357C865D8552C09063FF4628534440,2015-01-07 00:00:00+00,20,St. George,,K1,DEP
2485,0101000020E61000006F1283C0CA8952C08461D4BF11524440,2015-01-07 00:00:00+00,49,Shooters Island,,K2,DEP
2486,0101000020E61000005F7F8888888C52C09A99999999514440,2015-01-07 00:00:00+00,54,A & K Railroad Bridge,,K3,DEP
2487,0101000020E61000004FC858F28B8D52C07F6ABC7493484440,2015-01-07 00:00:00+00,46,Fresh Kills ,,K4,DEP
2488,0101000020E6100000D868AFB9909052C0AFD15E7321414440,2015-01-07 00:00:00+00,50,Tottenville,,K5,DEP
2489,0101000020E610000092B2BBBBBB8F52C0BC749318043E4440,2015-01-07 00:00:00+00,112,Raritan River,,K5A,DEP
2490,0101000020E6100000F6ED9A0B498352C0E21B1ECC13554440,2015-01-07 00:00:00+00,27,"Buoy ""31""",,N6,DEP
2491,0101000020E6100000537D5D01728352C0914C732169524440,2015-01-07 00:00:00+00,23,"""28"" Buoy Robbins Reef",,N7,DEP
2492,0101000020E6100000F4FDD478E98252C06FB38CDE964D4440,2015-01-07 00:00:00+00,10,The Narrows,,N8,DEP
2493,0101000020E6100000537D5D01727B52C001A1091ECC5B4440,2015-01-07 00:00:00+00,475,English Kills,,NC0,DEP
2494,0101000020E6100000289750466F7B52C0DBF97E6ABC5C4440,2015-01-07 00:00:00+00,300,Maspeth Creek,,NC1,DEP
2495,0101000020E61000001D5A643BDF7B52C00C6121694A5D4440,2015-01-07 00:00:00+00,132,Amoco Tank Farm,,NC2,DEP
2496,0101000020E6100000AD82A2FE8D7C52C0C396327A5B5E4440,2015-01-07 00:00:00+00,52,Whale Creek,,NC3,DEP
2497,0101000020E6100000CADC063A6D7452C0FA7E6ABC74534440,2015-01-06 00:00:00+00,620,Mouth of Basin,,BB4,DEP
2498,0101000020E6100000FD0F3A6DA07F52C0ADA6D75C484A4440,2015-01-06 00:00:00+00,80,Coney Is Creek,,CIC3,DEP
2499,0101000020E610000066A127EADF8052C0CDCCCCCCCC4C4440,2015-01-06 00:00:00+00,30,Gravesend Bay,,GB1,DEP
2500,0101000020E61000009F55F0609E7852C0761D96FC62494440,2015-01-06 00:00:00+00,4,Rockaway Inlet,,J1,DEP
2501,0101000020E61000009A999999997952C024657777774F4440,2015-01-06 00:00:00+00,6,Paerdegat Basin,,J10,DEP
2502,0101000020E6100000AF0C20F79A7B52C02E53A70D744A4440,2015-01-06 00:00:00+00,38,Sheepshead Bay,,J11,DEP
2503,0101000020E6100000AF0C20F79A7352C01B2FDD2406514440,2015-01-06 00:00:00+00,112,Grassy Bay,,J12,DEP
2504,0101000020E6100000BB0E4B7EB17852C06186DA40A74D4440,2015-01-06 00:00:00+00,14,Mill Basin,,J2,DEP
2505,0101000020E6100000E6956157807852C0C74B378941504440,2015-01-06 00:00:00+00,26,Canarsie,,J3,DEP
2506,0101000020E6100000B29DEFA7C67352C063B16157804C4440,2015-01-06 00:00:00+00,8,A train Trestle,,J5,DEP
2507,0101000020E61000005F7F8888887452C066C55C489A524440,2015-01-06 00:00:00+00,160,Bergen Basin,,J7,DEP
2508,0101000020E6100000FF3AC183797652C0ADA6D75C48524440,2015-01-06 00:00:00+00,104,Spring Creek,,J8,DEP
2509,0101000020E61000003D459827EA7752C0AFD15E7321514440,2015-01-06 00:00:00+00,62,Fr. Crk. Bouy C21,,J9A,DEP
2510,0101000020E610000051F3DF08657C52C001A1091ECC434440,2015-01-06 00:00:00+00,4,SI-FI-W Gong,,N16,DEP
2512,0101000020E6100000C5E5EEEEEE7E52C005E08B25BF484440,2015-01-06 00:00:00+00,4,Steeplechase Pier,,N9,DEP
2513,0101000020E61000001D5A643BDF7B52C0140D3EC3AE484440,2015-01-06 00:00:00+00,6,Coney Is W Outfall,,N9A,DEP
2514,0101000020E610000085D44FA9127A52C09FB51D0247504440,2015-01-06 00:00:00+00,14,Midway in Basin,,PB2,DEP
3175,0101000020E6100000A44C08AC1C7052C0A1C0BD9EAF614440,2015-01-14 00:00:00+00,2700,Alley Creek & Northern Blvd.,,AC1,DEP
3177,0101000020E61000004450357A357752C0D32A789E78724440,2015-01-14 00:00:00+00,148,Bronx River and 231st Street,,BR1,DEP
3178,0101000020E61000008962F206987852C0F030ED9BFB694440,2015-01-14 00:00:00+00,176,Westchester Avenue & Bronx Riv,,BR3,DEP
3184,0101000020E6100000A2912EC2147F52C0CB147310744A4440,2015-01-13 00:00:00+00,1300,Coney Island Creek and Cropsey Ave.,,CIC2,DEP
3185,0101000020E610000005D75A2C457852C03B94E3FDB8534440,2015-01-13 00:00:00+00,10,Hendrix Creek head,,HC1,DEP
3187,0101000020E61000007209C365157852C039FC323333534440,2015-01-13 00:00:00+00,30,Hendrix Creek 26 Wards outfall,,HC2,DEP
3188,0101000020E610000015516E7F907552C00F1409F8E6554440,2015-01-13 00:00:00+00,10,Head of basin,,SP1,DEP
3189,0101000020E6100000AF0C20F79A7352C014AE47E17A544440,2015-01-06 00:00:00+00,4000,Head of Basin,,BB2,DEP
3190,0101000020E6100000172527DD967952C0A42BD520CC4F4440,2015-01-06 00:00:00+00,8,Mouth of Basin,,PB3,DEP
3191,0101000020E6100000D4B3AAAAAA7652C0D122DBF97E524440,2015-01-06 00:00:00+00,56,Spring Creek,,SP2,DEP
3239,0101000020E6100000B137A70D748652C0844A489A52414440,2015-01-07 00:00:00+00,,Orchard Light,,K6,DEP
3176,,2015-01-14 00:00:00+00,168,,,AC2,DEP
3179,,2015-01-14 00:00:00+00,20,,,E12,DEP
3180,,2015-01-14 00:00:00+00,3,,,E13,DEP
3181,,2015-01-14 00:00:00+00,78,,,HR1,DEP
3182,,2015-01-14 00:00:00+00,33,,,WC1,DEP
3183,,2015-01-14 00:00:00+00,14,,,WC3,DEP
3236,,2015-01-14 00:00:00+00,,,,HR03,DEP
3237,,2015-01-14 00:00:00+00,,,,HR2,DEP
3238,,2015-01-14 00:00:00+00,,,,WC2,DEP
